time,X_desired,Y_desired,Z_desired,Roll_desired,Pitch_desired,Yaw_desired,L1_desired,L2_desired,L3_desired,L4_desired,L5_desired,L6_desired,L1_actual,L2_actual,L3_actual,L4_actual,L5_actual,L6_actual,L1_error,L2_error,L3_error,L4_error,L5_error,L6_error
0,0,0,331.5,0,0.0349065847694874,0,45.9718017578125,49.6566162109375,53.60791015625,56.0014953613281,53.5899047851562,47.51123046875,45.814826965332,49.4658737182617,53.5245971679688,56.2549896240234,54.1587905883789,47.321907043457,0.156974792480469,0.190742492675781,0.08331298828125,-0.253494262695312,-0.568885803222656,0.189323425292969
0.0199995040893555,0.188485935330391,0,331.499359130859,0.000438626680988818,0.0349038317799568,0,45.961669921875,49.6726379394531,53.7049255371094,56.0046691894531,53.5018005371094,47.4892883300781,45.6558570861816,49.2739181518555,53.3330307006836,55.8596954345703,53.5156860351562,47.1043891906738,0.305812835693359,0.398719787597656,0.371894836425781,0.144973754882812,-0.013885498046875,0.384899139404297
0.0500001907348633,0.471163213253021,0,331.496063232422,0.00109644653275609,0.0348893590271473,0,45.9459228515625,49.6950073242188,53.8476257324219,56.0058898925781,53.3668518066406,47.4553833007812,45.429931640625,49.0484962463379,53.099910736084,55.5574760437012,53.1168518066406,46.9183502197266,0.5159912109375,0.646511077880859,0.747714996337891,0.448413848876953,0.25,0.537033081054688
0.0799999237060547,0.753664016723633,0,331.489898681641,0.00175385584589094,0.0348624959588051,0,45.9294128417969,49.7153930664062,53.9866943359375,56.0028381347656,53.228515625,47.4202575683594,45.3224639892578,48.9551315307617,53.0592193603516,55.4705963134766,53.002269744873,47.062141418457,0.606948852539062,0.760261535644531,0.927474975585938,0.532241821289062,0.226245880126953,0.358116149902344
0.109999656677246,1.03589713573456,0,331.480895996094,0.00241064210422337,0.0348232463002205,0,45.9122009277344,49.7336730957031,54.1221313476562,55.9954528808594,53.0868225097656,47.3839111328125,45.2489967346191,49.001033782959,53.2028961181641,55.4370040893555,52.9254035949707,47.0286521911621,0.663204193115234,0.732639312744141,0.919235229492188,0.558448791503906,0.161418914794922,0.355258941650391
0.139999389648438,1.31776225566864,0,331.469055175781,0.00306657189503312,0.0347716212272644,0,45.894287109375,49.75,54.2539367675781,55.9837646484375,52.9418640136719,47.3463439941406,45.2656097412109,48.9966812133789,53.3852691650391,55.4310569763184,52.9388885498047,46.8723793029785,0.628677368164062,0.753318786621094,0.868667602539062,0.552707672119141,0.0029754638671875,0.473964691162109
0.170000076293945,1.59916794300079,0,331.454406738281,0.0037214329931885,0.0347076430916786,0,45.8757019042969,49.7642211914062,54.3820495605469,55.9678344726562,52.7936706542969,47.3076171875,45.3847923278809,49.047046661377,53.6708221435547,55.4120597839355,52.9608001708984,46.8939666748047,0.490909576416016,0.717174530029297,0.711227416992188,0.555774688720703,-0.167129516601562,0.413650512695312
0.199999809265137,1.87999677658081,0,331.436920166016,0.00437495112419128,0.0346313342452049,0,45.8564147949219,49.7764587402344,54.5064086914062,55.9476013183594,52.6423034667969,47.2677307128906,45.5040245056152,49.1730575561523,53.8525695800781,55.4011154174805,52.9260635375977,46.943546295166,0.352390289306641,0.603401184082031,0.653839111328125,0.546485900878906,-0.283760070800781,0.324184417724609
0.229999542236328,2.1601574420929,0,331.416595458984,0.00502691464498639,0.0345427244901657,0,45.83642578125,49.7865600585938,54.6268920898438,55.9230651855469,52.4877624511719,47.2266235351562,45.5306396484375,49.2720108032227,54.1553840637207,55.5415687561035,52.9717216491699,47.0816955566406,0.3057861328125,0.514549255371094,0.471508026123047,0.381496429443359,-0.483959197998047,0.144927978515625
0.260000228881836,2.43955969810486,0,331.393493652344,0.00567711284384131,0.0344418361783028,0,45.8157958984375,49.794677734375,54.74365234375,55.894287109375,52.3302001953125,47.1844482421875,45.6034507751465,49.3339996337891,54.379810333252,55.621223449707,52.9144096374512,47.0866508483887,0.212345123291016,0.460678100585938,0.363842010498047,0.273063659667969,-0.584209442138672,0.0977973937988281
0.289999961853027,2.7180860042572,0,331.367553710938,0.00632527330890298,0.0343287102878094,0,45.7944641113281,49.8006896972656,54.8564147949219,55.8612365722656,52.1695556640625,47.1410827636719,45.7428970336914,49.4337387084961,54.5290832519531,55.714542388916,52.8711433410645,47.1044502258301,0.0515670776367188,0.366950988769531,0.32733154296875,0.146694183349609,-0.701587677001953,0.0366325378417969
0.319999694824219,2.99564671516418,0,331.338836669922,0.0069711864925921,0.0342033952474594,0,45.7724609375,49.8046569824219,54.9653015136719,55.8239440917969,52.0059509277344,47.0966186523438,45.6239624023438,49.4132118225098,54.5673179626465,55.7604293823242,52.7486915588379,47.0946388244629,0.14849853515625,0.391445159912109,0.397983551025391,0.0635147094726562,-0.742740631103516,0.00197982788085938
0.34999942779541,3.27214312553406,0,331.307342529297,0.00761462282389402,0.0340659208595753,0,45.7498474121094,49.8064880371094,55.0702514648438,55.782470703125,51.8394470214844,47.0510559082031,45.5743865966797,49.378116607666,54.6474113464355,55.8053359985352,52.6281967163086,47.1013145446777,0.175460815429688,0.428371429443359,0.422840118408203,-0.0228652954101562,-0.788749694824219,-0.0502586364746094
0.380000114440918,3.54748606681824,0,331.273040771484,0.00825537461787462,0.0339163430035114,0,45.7264709472656,49.8062744140625,55.171142578125,55.7366943359375,51.6700439453125,47.0043640136719,45.5809173583984,49.3521041870117,54.6827850341797,55.8086280822754,52.4019241333008,47.1330299377441,0.145553588867188,0.454170227050781,0.488357543945312,-0.0719337463378906,-0.731880187988281,-0.128665924072266
0.409999847412109,3.82155919075012,0,331.236022949219,0.00889317132532597,0.0337547212839127,0,45.7025451660156,49.8039855957031,55.2680358886719,55.686767578125,51.4978637695312,46.9566650390625,45.5842552185059,49.3675842285156,54.7334442138672,55.7968063354492,52.104793548584,47.1356353759766,0.118289947509766,0.4364013671875,0.534591674804688,-0.110038757324219,-0.606929779052734,-0.178970336914062
0.439999580383301,4.09427547454834,0,331.196228027344,0.00952781178057194,0.0335811004042625,0,45.6779174804688,49.7995910644531,55.3608093261719,55.6325988769531,51.3229064941406,46.9078979492188,45.5917701721191,49.3673439025879,54.8887023925781,55.7868232727051,51.7678375244141,47.0908088684082,0.0861473083496094,0.432247161865234,0.47210693359375,-0.154224395751953,-0.444931030273438,-0.182910919189453
0.469999313354492,4.36553621292114,0,331.153686523438,0.0101590640842915,0.0333955511450768,0,45.6526489257812,49.7931213378906,55.4494934082031,55.5742492675781,51.1452331542969,46.8580017089844,45.6809234619141,49.3638191223145,55.0156593322754,55.7389488220215,51.4966735839844,47.0435333251953,-0.0282745361328125,0.429302215576172,0.433834075927734,-0.164699554443359,-0.3514404296875,-0.185531616210938
0.5,4.63525485992432,0,331.108459472656,0.010786728002131,0.0331981331110001,0,45.6268005371094,49.7845458984375,55.5339965820312,55.5117797851562,50.9649658203125,46.8071594238281,45.5867462158203,49.3033676147461,55.1079406738281,55.7600479125977,51.2651748657227,47.0516090393066,0.0400543212890625,0.481178283691406,0.426055908203125,-0.248268127441406,-0.300209045410156,-0.244449615478516
0.529999732971191,4.90331792831421,0,331.060516357422,0.0114105390384793,0.0329889245331287,0,45.6002502441406,49.7738647460938,55.6143798828125,55.4452209472656,50.7821044921875,46.7552795410156,45.5855331420898,49.2492332458496,55.186824798584,55.7390670776367,51.1298522949219,46.9586563110352,0.0147171020507812,0.524631500244141,0.427555084228516,-0.293846130371094,-0.347747802734375,-0.203376770019531
0.559999465942383,5.16963911056519,0,331.009857177734,0.0120302960276604,0.0327679961919785,0,45.5730895996094,49.7610778808594,55.6905212402344,55.3744506835938,50.5967102050781,46.702392578125,45.462646484375,49.2846069335938,55.2577514648438,55.7204895019531,50.9814605712891,46.8189697265625,0.110443115234375,0.476470947265625,0.432769775390625,-0.346038818359375,-0.384750366210938,-0.1165771484375
